Timestamp,What is your gender,What is your age group,Which of these describe your position Choose all options that apply,Are you currently in a permanent position,In which of these sectors do you work,What is your location,Q1 How would you describe your work  Choose all options that apply,Q2 Which of the following do you work in Choose all options that apply,Q3 Where do bioimage analysts sit in your institution Choose all options that apply ,Q4 If you work in a facility what are the operatingorbusiness models of your facility Choose all options that apply Please do not answer if you do not work in a facility,Q5 If you work in a facility how much of your budget comes from each of these Please do not answer if you do not work in a facility [grants you apply for],Q5 If you work in a facility how much of your budget comes from each of these Please do not answer if you do not work in a facility [grants someone else applies for],Q5 If you work in a facility how much of your budget comes from each of these Please do not answer if you do not work in a facility [internal granted funding],Q5 If you work in a facility how much of your budget comes from each of these Please do not answer if you do not work in a facility [recharge for consulting],Q5 If you work in a facility how much of your budget comes from each of these Please do not answer if you do not work in a facility [recharge on image analysis projects data analysis as a service],Q5 If you work in a facility how much of your budget comes from each of these Please do not answer if you do not work in a facility [recharge on other services eg microscope time],Q5 If you work in a facility how much of your budget comes from each of these Please do not answer if you do not work in a facility [I don't know],Q6 How many of the following do you do as part of your typical job Choose all options that apply,Q7 How much of your time do you spend on each of the following  [bioimage analysis instruction],Q7 How much of your time do you spend on each of the following  [bioimage analysis service],Q7 How much of your time do you spend on each of the following  [bioimage analysis infrastructure development and maintenance],Q7 How much of your time do you spend on each of the following  [own bioimage analysis project],Q7 How much of your time do you spend on each of the following  [bioimage analysis tool development not bound to a single service project],Q7 How much of your time do you spend on each of the following  [management or administration],Q8 Have you been involved with NEUBIAS before Choose all options that apply,Q9 How can GloBIAS support you in your bioimage analysis endeavours,Q10 What type of activity would you want GloBIAS to offer in the first twelve months after its foundation [in-person workshops on how to teach bioimage analysis workflows],Q10 What type of activity would you want GloBIAS to offer in the first twelve months after its foundation [in-person workshop on new bioimage analysis software tools],Q10 What type of activity would you want GloBIAS to offer in the first twelve months after its foundation [online events discussing image data infrastructure and image data management],Q10 What type of activity would you want GloBIAS to offer in the first twelve months after its foundation [online events on new bioimage analysis software tools],Q10 What type of activity would you want GloBIAS to offer in the first twelve months after its foundation [online events from companies demonstrating their software],"Q10 What type of activity would you want GloBIAS to offer in the first twelve months after its foundation [sessions presenting open bioimage analysis questions, annotated data sets, and an overview explanation of the biology of the data]","Q10 What type of activity would you want GloBIAS to offer in the first twelve months after its foundation [provide basic knowledge and vocabulary of new developments in bioimage analysis for better communication between computer scientists, life scientists, imaging specialists and software developers]",Q10 What type of activity would you want GloBIAS to offer in the first twelve months after its foundation [open discussion forum and interaction platform],Q10 What type of activity would you want GloBIAS to offer in the first twelve months after its foundation [publishing and curating training materials],Q11 Is there a specific type of event not listed in Q10 you would want to see organised by GloBIAS in its first year or thereafter,"Q12 If GloBIAS offers regular online events, how often would you ideally want them to happen","Q13 If there was a society such as GloBIAS advocating Bioimage Analysis BIA and offering events as discussed above Q10, would you be interested to be an active member by helping to organise and run regular online events for GloBIAS","Q14 If there was a Society such as GloBIAS advocating BIA and offering events and services, would you be willing to pay for membership in this society There would be different fee levels, eg for students, postdocs, and ECR, core facility, etc","Q15 Please indicate what fee you would find reasonable for a full membership The yearly fee will be used for administrative purposes first webpage, email account, member register Any remaining money will be used for the aims of the society as defined in its charter 
Attention please suggestion field is assuming an input in Euro!
",Q16 Would your institution cover such membership fees,Q17 Would you be interested in joining a working group of the society after its foundation for any of the following areas,Q18 What other aspects beside the opportunities listed above would make you most likely to contribute to GloBIAS,Q19 Would you be interested to contribute to the foundation process of GloBIAS during 2024,Q20 Which of these social media platforms do you use in a professional context Select all that apply,"Q21 Which of these tools do you use in a professional context 
Used mainly for       [imagesc]","Q21 Which of these tools do you use in a professional context 
Used mainly for       [Google groups]","Q21 Which of these tools do you use in a professional context 
Used mainly for       [GitHub]","Q21 Which of these tools do you use in a professional context 
Used mainly for       [Wikipedia]","Q21 Which of these tools do you use in a professional context 
Used mainly for       [ChatGPTorBINGorBard]","Q21 Which of these tools do you use in a professional context 
Used mainly for       [Monographs, eg library or online books]",Q22 Interested in getting involved now If your answer is Yes to any of the questions below please send a short email to info@globiasorg using GloBIAS A andoror B in the email topic Thank you
2/7/24 15:02,Male,30-39,staff scientist in a core facility,Yes,"research institution, university",Europe,"Life sciences research (planning and executing and analysing a range of experiments), Imaging (sample preparation optimisation and acquiring images and data), Imaging support (guidelines and tips for sample preparation optimisation and deciding on imaging modalities and help with acquisition of images and data), Image analysis (finding the right tools to analyse a particular experiment and optimizing the analysis and data mining), Software engineering and/or method development (building tools and implementing state-of-the-art computer vision/ML-research)","a university based core facility, a non-profit/research centre based core facility","within individual research labs with wet-lab focus, embedded within an imaging/microscopy facility",internal granted funding,,,,,,,25-50%,"bioimage analysis instruction, bioimage analysis services, bioimage analysis infrastructure development and maintenance, own bioimage analysis project",0-25%,0-25%,0-25%,0-25%,,,No,,maybe interested,definitely would want to attend,maybe interested,definitely would want to attend,not at all interested,maybe interested,definitely would want to attend,maybe interested,maybe interested,,Every three months,Yes,Yes,180,Yes,scientific data integrity in bioimage analysis,"open channels for communication, opportunities for training",No,"ResearchGate, Linkedin, YouTube",posting questions,,"exchanging ideas, self-learning, other","finding literature, self-learning","self-learning, other",,I would be interested to get regular updates regarding the GloBIAS initiative. (B)
2/7/24 16:44,Female,20-29,PhD student,No,research institution,Europe,"Life sciences research (planning and executing and analysing a range of experiments), Imaging (sample preparation optimisation and acquiring images and data), Image analysis (finding the right tools to analyse a particular experiment and optimizing the analysis and data mining)",an university based academic/ research lab,"a dedicated stand-alone image analysis facility, embedded within an imaging/microscopy facility",,,,,,,,,own bioimage analysis project,,,,25-50%,,,No,,not at all interested,maybe interested,not at all interested,definitely would want to attend,maybe interested,maybe interested,maybe interested,maybe interested,definitely would want to attend,,Every three months,No,Yes,25,Yes,outreach activities of society: social media channels and conference presentations,"open channels for communication, alignment with your scientific areas, open help desk",No,"ResearchGate, Linkedin, X (Twitter)",,,other,self-learning,"posting questions, self-learning","finding literature, self-learning",
2/7/24 17:32,Prefer not to say,above 50,professor,No,research institution,South America,"Life sciences research (planning and executing and analysing a range of experiments), Imaging (sample preparation optimisation and acquiring images and data), Imaging support (guidelines and tips for sample preparation optimisation and deciding on imaging modalities and help with acquisition of images and data), Image analysis (finding the right tools to analyse a particular experiment and optimizing the analysis and data mining), Microscope development (building microscope and add-ons to microscope and development of software tools for control and data analysis for self-built systems), Software engineering and/or method development (building tools and implementing state-of-the-art computer vision/ML-research)","a non-profit/research centre based academic/research lab, a non-profit/research centre based core facility","within individual research labs with wet-lab focus, within individual research labs with computer science focus (but on life science topics), embedded within an imaging/microscopy facility, embedded within a bioinformatics facility","grants you apply for, grants someone else applies for, internal granted funding, recharge on other products (microscope time etc)",0-25%,0-25%,0-25%,0%,0%,0-25%,0%,"bioimage analysis instruction, bioimage analysis services, own bioimage analysis project, management / administration",0-25%,0-25%,0%,0-25%,0%,0-25%,I attended a conference/seminars.,Finding experts for consultation and cooperation,maybe interested,maybe interested,definitely would want to attend,definitely would want to attend,maybe interested,maybe interested,definitely would want to attend,definitely would want to attend,maybe interested,Quality control and fraud prevention,Every three months,Yes,Yes,120,I would cover by myself anyway because I think it is worth it,scientific data integrity in bioimage analysis,"events held online, open channels for communication, alignment with your scientific areas, opportunities for training, open help desk",Yes (please see also Q22),"ResearchGate, Linkedin, X (Twitter)",,,finding literature,"finding literature, self-learning","posting questions, self-learning","finding literature, self-learning",I would be interested to get regular updates regarding the GloBIAS initiative. (B)
2/7/24 20:31,Female,20-29,PhD student,No,"research institution, university",Europe,"Life sciences research (planning and executing and analysing a range of experiments), Imaging (sample preparation optimisation and acquiring images and data), Image analysis (finding the right tools to analyse a particular experiment and optimizing the analysis and data mining)",an university based academic/ research lab,within individual research labs with wet-lab focus,,,,,,,,,own bioimage analysis project,0-25%,0-25%,0%,50-75%,0%,0%,I attended a conference/seminars.,"further training, educational resources, workshops",definitely would want to attend,definitely would want to attend,definitely would want to attend,definitely would want to attend,maybe interested,maybe interested,maybe interested,maybe interested,maybe interested,,Monthly,Yes,Yes,50,Yes,"organisation of in-person workshops/hackathons, education: hosting trainings (such as NEUBIAS Academy - style videos) and preparation of training material for bioimage analysis trainings, e.g. outlines and data and set-up for bioimage analysis trainings at different levels",opportunities for training,Yes (please see also Q22),"ResearchGate, Linkedin, X (Twitter)","posting questions, self-learning",,"finding literature, self-learning","finding literature, self-learning",posting questions,"finding literature, posting questions, exchanging ideas",I would be interested to get regular updates regarding the GloBIAS initiative. (B)
2/7/24 20:33,Male,30-39,postdoctoral researcher,No,university,Europe,"Imaging support (guidelines and tips for sample preparation optimisation and deciding on imaging modalities and help with acquisition of images and data), Image analysis (finding the right tools to analyse a particular experiment and optimizing the analysis and data mining), Software engineering and/or method development (building tools and implementing state-of-the-art computer vision/ML-research)",an university based academic/ research lab,"within individual research labs with wet-lab focus, I am not aware of any bioimage analysts in my institution",,,,,,,,,"bioimage analysis instruction, own bioimage analysis project, bioimage analysis tool development (not bound to a single service project), management / administration",0-25%,0-25%,0%,50-75%,50-75%,0-25%,No,"Networking, training, exchange with others",maybe interested,maybe interested,maybe interested,definitely would want to attend,not at all interested,definitely would want to attend,maybe interested,maybe interested,maybe interested,,Every three months,Yes,Yes,100,Yes,"outreach activities of society: social media channels and conference presentations, education: hosting trainings (such as NEUBIAS Academy - style videos) and preparation of training material for bioimage analysis trainings, e.g. outlines and data and set-up for bioimage analysis trainings at different levels, scientific data integrity in bioimage analysis","open channels for communication, alignment with your scientific areas, opportunities for training",No,"ResearchGate, Slack, YouTube, X (Twitter)","finding literature, posting questions, exchanging ideas",,other,"finding literature, self-learning","finding literature, posting questions, self-learning",self-learning,I would be interested to get regular updates regarding the GloBIAS initiative. (B)
2/7/24 20:35,Female,30-39,staff scientist in a core facility,Yes,research institution,Europe,"Image analysis (finding the right tools to analyse a particular experiment and optimizing the analysis and data mining), Software engineering and/or method development (building tools and implementing state-of-the-art computer vision/ML-research)",a non-profit/research centre based academic/research lab,"within individual research labs with computer science focus (but on life science topics), a dedicated stand-alone image analysis facility, embedded within an imaging/microscopy facility","grants you apply for, internal granted funding, recharge on image analysis projects (data analysis as a service)",0-25%,,25-50%,,25-50%,,,"bioimage analysis instruction, bioimage analysis services, bioimage analysis infrastructure development and maintenance, bioimage analysis tool development (not bound to a single service project), management / administration",0-25%,50-75%,0-25%,0%,0-25%,0-25%,"As a trainer., I attended a conference/seminars.",With funding to organize events (conferences or courses) and by offering a network in image analysis,maybe interested,definitely would want to attend,maybe interested,definitely would want to attend,not at all interested,maybe interested,maybe interested,not at all interested,maybe interested,A hackaton/workshop on how to deploy workflows that uses machine learning or big data to be easily installable and usable by biologist,Every three months,Yes,No,,No,scientific data integrity in bioimage analysis,"events held online, alignment with your scientific areas, opportunities for training",No,"Mattermost, X (Twitter), Bluesky",self-learning,,self-learning,,,,I would be interested to get regular updates regarding the GloBIAS initiative. (B)
2/7/24 20:58,Female,20-29,"PhD student, postdoctoral researcher",No,research institution,Europe,"Imaging (sample preparation optimisation and acquiring images and data), Microscope development (building microscope and add-ons to microscope and development of software tools for control and data analysis for self-built systems)","an university based academic/ research lab, a non-profit/research centre based academic/research lab","within individual research labs with wet-lab focus, embedded within an imaging/microscopy facility, embedded within a bioinformatics facility, embedded within IT/research administration",grants someone else applies for,0%,50-75%,0-25%,,,,,own bioimage analysis project,,0%,0%,0-25%,0%,0-25%,No,Starting in GPU accelerated image analysis and first steps of coding to bridge between analysis tools,definitely would want to attend,definitely would want to attend,maybe interested,definitely would want to attend,maybe interested,maybe interested,definitely would want to attend,definitely would want to attend,definitely would want to attend,-,Every three months,No,Yes,50,No,,"events held online, alignment with your scientific areas",No,"Linkedin, YouTube, X (Twitter)","finding literature, posting questions, self-learning",posting questions,,,"exchanging ideas, self-learning","finding literature, other",I would be interested to get regular updates regarding the GloBIAS initiative. (B)
2/7/24 21:05,Male,20-29,PhD student,No,research institution,Europe,"Life sciences research (planning and executing and analysing a range of experiments), Image analysis (finding the right tools to analyse a particular experiment and optimizing the analysis and data mining), Software engineering and/or method development (building tools and implementing state-of-the-art computer vision/ML-research)",a non-profit/research centre based academic/research lab,"within individual research labs with wet-lab focus, within individual research labs with computer science focus (but on life science topics), a dedicated stand-alone image analysis facility",,,,,,,,,"own bioimage analysis project, bioimage analysis tool development (not bound to a single service project)",,,,25-50%,50-75%,,I attended a conference/seminars.,"I would love to have more intermediate training courses, I.e. somewhere where challenging projects can be discussed / worked on. Sometimes I am missing ideas and input from peers.",maybe interested,definitely would want to attend,not at all interested,definitely would want to attend,maybe interested,definitely would want to attend,definitely would want to attend,definitely would want to attend,maybe interested,,Every three months,No,Yes,50,I would cover by myself anyway because I think it is worth it,,"events held online, open channels for communication, alignment with your scientific areas, opportunities for training",No,X (Twitter),"finding literature, self-learning",,"exchanging ideas, other",,"finding literature, posting questions, self-learning",self-learning,I would be interested to get regular updates regarding the GloBIAS initiative. (B)
2/7/24 21:13,Male,20-29,postdoctoral researcher,No,university,Europe,"Life sciences research (planning and executing and analysing a range of experiments), Imaging (sample preparation optimisation and acquiring images and data), Image analysis (finding the right tools to analyse a particular experiment and optimizing the analysis and data mining)",an university based academic/ research lab,"within individual research labs with wet-lab focus, within individual research labs with computer science focus (but on life science topics), embedded within an imaging/microscopy facility",,,,,,,,,own bioimage analysis project,,,,25-50%,,,No,,maybe interested,maybe interested,maybe interested,definitely would want to attend,maybe interested,definitely would want to attend,maybe interested,maybe interested,maybe interested,,Every three months,No,Yes,50,I would cover by myself anyway because I think it is worth it,"education: hosting trainings (such as NEUBIAS Academy - style videos) and preparation of training material for bioimage analysis trainings, e.g. outlines and data and set-up for bioimage analysis trainings at different levels","open channels for communication, alignment with your scientific areas, opportunities for training, open help desk",No,"ResearchGate, X (Twitter)",self-learning,self-learning,self-learning,self-learning,"posting questions, self-learning",self-learning,I would be interested to get regular updates regarding the GloBIAS initiative. (B)
2/7/24 21:17,Female,20-29,PhD student,No,university,Europe,"Life sciences research (planning and executing and analysing a range of experiments), Imaging (sample preparation optimisation and acquiring images and data), Image analysis (finding the right tools to analyse a particular experiment and optimizing the analysis and data mining)",an university based academic/ research lab,I am not aware of any bioimage analysts in my institution,,,,,,,,,bioimage analysis instruction,0-25%,,,,,,As a trainee.,,maybe interested,maybe interested,maybe interested,maybe interested,maybe interested,maybe interested,maybe interested,not at all interested,maybe interested,,Every three months,No,Yes,,,,,No,"ResearchGate, Linkedin, X (Twitter)","posting questions, self-learning",other,self-learning,self-learning,self-learning,self-learning,I would be interested to get regular updates regarding the GloBIAS initiative. (B)
